strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,classification,expected_by_0point5_cad,ct_material_occupancy,mean_intensity,length_um,trimmed_length_um,longest_gap_um,estimated_missing_volume_mm3,nominal_sampled_volume_mm3,centroid_x_um,centroid_y_um,centroid_z_um,aspect_ratio,sphericity,voxel_size_um
10,5,12,2,8,0,"0,0,0",Missing_Intentional,True,0.0,32576.306640625,3244.071133041382,1946.442626953125,2043.764953421402,0.7428424954414368,0.7428424954414368,4591.172170181275,3035.005722961426,4978.955450439454,2.9318944072723387,0.7571226696086982,58.09
214,123,120,8,4,8,"8,0,0",Expected_Missing_But_Material_Present,True,0.0669763833284378,32934.49609375,3244.071133041382,1946.442626953125,1654.4763908649445,0.6930896043777466,0.7428424954414368,43598.70777465821,5130.580136108399,5004.923814849853,2.373438329696655,0.8634291686417432,58.09
417,241,248,2,8,17,"8,1,0",Expected_Missing_But_Material_Present,True,0.32675182819366455,38764.140625,3244.0715762329105,1946.443115234375,973.2214063911438,0.5001174807548523,0.7428426742553711,40188.93752258301,10876.388115234377,2692.3120840072634,1.3961401939392089,1.0,58.09
640,365,375,3,8,26,"8,2,0",Missing_Unintentional,False,0.014711575582623482,36142.2421875,3244.071133041382,1946.442626953125,1946.4428127822875,0.7319141030311584,0.7428424954414368,44788.357930297854,13146.92567993164,2689.7677214431765,2.7922803878784177,0.7814699251247404,58.09
643,371,375,1,8,26,"8,2,0",Missing_Unintentional,False,0.0,32641.666015625,3244.0717978286743,1946.443115234375,2043.764953421402,0.7428426742553711,0.7428426742553711,44798.15778137207,15447.146440429688,4977.317414550782,2.9318944072723387,0.7571227911096253,58.09
648,374,372,8,4,26,"8,2,0",Missing_Unintentional,False,0.015485868789255619,33452.75,3244.071354637146,1946.44287109375,2043.764953421402,0.7313389778137207,0.7428425550460815,41351.51399414063,14317.710058593751,4977.639171600342,2.9318944072723387,0.7492859170527145,58.09
860,491,501,3,8,35,"8,3,0",Missing_Unintentional,False,0.012001548893749714,35989.76171875,3244.0704682540895,1946.4425048828125,2043.764953421402,0.7339271306991577,0.742842435836792,44811.69462341309,17734.65824066162,2677.0758240509035,2.9318944072723387,0.7510526531746341,58.09
862,496,501,2,8,35,"8,3,0",Missing_Unintentional,False,0.007355787791311741,33137.80859375,3244.071133041382,1946.442626953125,2043.764953421402,0.7373782992362976,0.7428424954414368,44809.82612792969,17741.013607177734,4970.9709118652345,2.9318944072723387,0.7534052773862401,58.09
863,497,501,1,8,35,"8,3,0",Missing_Unintentional,False,0.003097173757851124,32896.0625,3244.0717978286743,1946.443115234375,2043.764953421402,0.740541934967041,0.7428426742553711,44821.498020019535,20034.880773925783,4964.625295562744,2.9318944072723387,0.7555586711460767,58.09
867,496,502,2,8,35,"8,3,0",Missing_Unintentional,False,0.017034456133842468,33320.75,3244.071354637146,1946.44287109375,1946.4428127822875,0.7301886081695557,0.7428425550460815,43657.05305297852,16599.912424316408,4973.19396057129,2.7922803878784177,0.7802412265561643,58.09
